"Time1","Time2","Lon.mean","Lon.sd","Lon.50%","Lon.2.5%","Lon.97.5%","Lat.mean","Lat.sd","Lat.50%","Lat.2.5%","Lat.97.5%"
2015-07-15 19:34:02,2015-07-16 03:01:00,12.0372870530354,1.71255525163882,12.0336216007295,8.75053380296589,15.4242766816644,51.2344291857842,1.05792895706222,51.2758455077622,49.076010810549,53.2870578356484
2015-07-16 03:01:00,2015-07-16 19:43:53,12.3157538640809,4.39925478694888,12.2627968078455,3.93386557832201,21.5607102312432,51.5147934608324,2.63792578545837,51.5355835667817,45.9706171862018,56.7631641048893
2015-07-16 19:43:53,2015-07-17 02:51:06,12.2082224887043,3.45602253529867,12.2427678540874,5.16309102378349,19.058237331302,51.3258634587855,1.86151980333243,51.3070512903154,47.7351554519161,54.8051721857686
2015-07-17 02:51:06,2015-07-17 19:48:53,12.3322208959134,4.93681148280938,12.4455472054792,2.61967294367014,22.5228315735509,51.7660199036688,2.9700921642581,51.8579162231445,45.6413735303786,57.4209252610098
2015-07-17 19:48:53,2015-07-18 02:46:06,12.6064049494158,3.24527507053483,12.6387216162889,6.32584998523169,19.051069225117,52.0297030315036,1.97203516996361,52.0182907573364,48.4400813310981,56.2063474094212
2015-07-18 02:46:06,2015-07-18 19:28:53,12.4069669647088,4.51697510112565,12.5773913242472,3.08127221070475,21.0307117735961,50.9398908125986,2.90266102527718,50.9696973546918,45.0247567230022,56.6617151359847
2015-07-18 19:28:53,2015-07-19 03:01:06,12.0310162239398,3.27034845063089,12.1059058103047,4.98199142680542,18.1359922716031,49.9336016996816,2.24719939247832,49.9792365846538,45.0516567238529,54.0640932010146
2015-07-19 03:01:06,2015-07-19 19:33:57,12.9139598669885,4.75684727125483,13.0658224427346,3.14548609838166,22.4759436968592,50.9004909510052,3.13068102851518,50.775027166721,44.4006565995435,57.3043996213818
2015-07-19 19:33:57,2015-07-20 02:36:06,14.480081498893,3.61234391724853,14.5047232716783,7.52150142229528,21.7386879460778,51.9419084123293,2.10771179026205,52.0434050501771,47.306799219979,55.9432840543762
2015-07-20 02:36:06,2015-07-20 19:28:53,14.6695945686459,4.64422765240027,14.7923086569865,5.68334515825099,23.2885893372156,51.6758366591729,3.2286895286848,51.4992213393703,45.2869049370095,58.2191992651782
2015-07-20 19:28:53,2015-07-21 02:51:06,14.1341146623501,3.29320325550872,14.1097137285879,7.42528154508538,20.803611083781,51.2153954527385,2.17197926703889,51.1031843726301,46.9327224669332,55.7326061777272
2015-07-21 02:51:06,2015-07-21 19:48:53,12.0842866251692,4.78547320393744,12.2166400955249,2.35561843354422,21.1182667846715,51.5674023710944,3.08241130198377,51.5819316618383,45.1173259607463,57.3485971163629
2015-07-21 19:48:53,2015-07-22 03:01:06,10.8528800065416,3.01693896621313,10.703234486536,5.134701353843,16.8527952308146,51.4981141113406,2.02486439656251,51.5590771203098,47.3268555996048,55.4332706831007
2015-07-22 03:01:06,2015-07-22 19:28:53,11.3380252287065,4.51649053731856,11.0576507615031,3.4232656670809,20.8567767194239,50.7220298780061,2.84218272159166,50.6672358374561,45.2203647433204,56.222981144968
2015-07-22 19:28:53,2015-07-23 03:16:06,11.2337206534643,3.60729175464775,11.3355517952365,3.65504020230754,18.2292070579464,49.6082122593746,2.33721873478815,49.637718245055,45.0386677233197,54.4756845057951
2015-07-23 03:16:06,2015-07-23 19:08:53,12.4072155720849,4.16334206175012,12.5440742787756,3.98776491605909,19.9348230311491,49.1728407645701,2.9535862811587,48.9766823070222,43.4650463221968,55.5823211492752
2015-07-23 19:08:53,2015-07-24 03:11:06,13.0594031762732,3.41924920925784,13.0164978950478,6.21839695766923,19.3971674115158,48.7179869158026,2.35755555279559,48.8115897256949,44.0895841402204,53.4334177030356
2015-07-24 03:11:06,2015-07-24 19:33:53,11.6486074440063,4.20508594078388,11.6274904358118,3.3005728494926,19.5159981189516,49.3378556648674,2.84104747781926,49.3750206663795,43.7142072120283,54.9668715459896
2015-07-24 19:33:53,2015-07-25 03:11:06,11.2089822615803,3.04758508853544,11.2075888224002,5.33940077784376,17.0221975304398,49.9061016344062,1.95681596584768,49.857355688193,46.2957159778569,53.7769858896852
2015-07-25 03:11:06,2015-07-25 19:23:53,12.0722812958902,4.64700189286745,12.006700119355,2.95923301789707,21.5822263902577,49.7229923790901,3.02278042916354,49.6784421937749,43.9149349695814,55.8204638928076
2015-07-25 19:23:53,2015-07-26 03:11:06,11.992130923666,3.24159690812451,11.9779631882379,5.59037465912249,19.3757665490933,49.5873595070162,2.43163498506669,49.4561333491644,45.145074012137,54.7832155637859
2015-07-26 03:11:06,2015-07-26 19:33:53,11.5419800462422,4.40118266453403,11.5545838790603,2.51071699084178,20.0020166905414,50.1454305258978,3.04308958624437,50.1991587793605,44.289637227316,56.143834012505
2015-07-26 19:33:53,2015-07-27 03:16:06,10.750077526848,2.86612326643226,10.7056692107281,4.92119885144804,16.3924423224971,50.3805348844142,2.3598976245948,50.3886869415311,45.932552066392,54.778664476015
2015-07-27 03:16:06,2015-07-27 19:09:12,12.883211474051,4.65890210804226,12.7747617196084,3.36022325641798,21.5271862268006,50.3173188240652,2.94150556764805,50.2475853107563,44.7107704871347,56.3759216345684
2015-07-27 19:09:12,2015-07-28 03:01:06,15.1978764331641,3.09537726946838,15.1173867474953,8.92945012773387,21.524210294486,49.9114430881967,2.33098040901567,49.7617321922788,45.2054808368132,54.6890489843789
